State/UT,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,
Jammu & Kashmir,6130,6306,6464,6645,6824,6844,7027,7211,7396,7575,,
Ladakh,,,,,,159,162,166,171,175,,
Himachal Pradesh,4239,4347,4434,4534,4642,4744,4856,4953,5058,5180,,
Punjab,19393,19858,20332,20784,21278,21763,22276,22786,23301,23865,,
Chandigarh,470,487,501,517,532,548,564,582,598,612,,
Uttarakhand,5460,5595,5747,5886,6028,6184,6337,6500,6655,6816,,
Haryana,13633,14043,14436,14837,15255,15684,16109,16543,16997,17408,,
Delhi,11624,12016,12411,12804,13218,13644,14057,14494,14917,15278,,
Rajasthan,33382,34304,35224,36159,37123,38100,39111,40117,41167,42163,,
Uttar Pradesh,96651,99001,101406,103876,106350,108911,111491,114128,116818,119645,,
Bihar,49017,50348,51724,53126,54566,56028,57531,59043,60629,62096,,
Sikkim,246,246,253,264,270,275,276,288,308,315,,
Arunachal Pradesh,554,575,587,598,612,622,635,655,670,686,,
Nagaland,882,907,921,939,961,982,1008,1029,1060,1086,,
Manipur,919,939,974,1013,1047,1070,1105,1175,1220,1250,,
Mizoram,999,1021,1058,1088,1119,1149,1183,1231,1271,1302,,
Tripura,1369,1395,1431,1465,1496,1526,1571,1600,1651,1691,,
Meghalaya,1616,1654,1701,1729,1791,1837,1887,1928,1980,2028,,
Assam,19616,20121,20631,21170,21715,22261,22824,23395,23974,24554,,
West Bengal,51573,52905,54239,55605,56988,58368,59786,61213,62652,64168,,
Jharkhand,15830,16285,16751,17233,17710,18215,18716,19241,19766,20244,,
Orissa,24442,25030,25615,26205,26810,27427,28024,28656,29287,29996,,
Chhattisgarh,13068,13417,13779,14144,14522,14891,15279,15666,16057,16446,,
Madhya Pradesh,36740,37722,38735,39758,40798,41876,42966,44056,45176,46269,,
Gujarat,32561,33481,34413,35362,36325,37300,38306,39328,40356,41333,,
Daman & Diu,37,40,45,48,55,63,66,70,77,79,,
Dadra & Nagar Haveli,66,69,79,87,92,102,109,117,128,131,,
Maharashtra,55087,56491,57901,59341,60814,62291,63797,65326,66879,68497,,
Telangana,22390,22988,23580,24184,24788,25408,26038,26681,27339,28001,,
Andhra Pradesh,33602,34389,35224,36034,36884,37724,38582,39443,40307,41282,,
Karnataka,40312,41394,42502,43612,44775,45926,47113,48290,49516,50714,,
Goa,770,785,807,831,848,877,893,909,932,955,,
Lakshadweep,10,13,13,13,13,13,13,14,14,15,,
Kerala,27905,28434,28961,29508,30057,30615,31166,31713,32271,33055,,
Tamil Nadu,41160,42294,43463,44655,45846,47075,48314,49571,50841,52075,,
Pondicherry,670,701,733,760,794,820,852,879,905,930,,
Andaman & Nicobar Islands,170,175,180,186,193,195,200,205,214,221,,
,,,,,,,,,,,,
TOTAL,662593,679776,697255,715000,733139,751517,770230,789202,808558,828136,,